id	text
P059	This energetic percussion performance features rock influences and is ideal for concert openings. The song is performed with powerful beats and high-energy style.
P060	This tranquil pop music piece features flowing piano and violin accompaniment. The song is performed with a calming effect, creating a serene concert atmosphere.
P061	This fast-paced, free-tempo background music features dense, rhythmic beats, making it ideal for gaming.
P062	A lively tango song contains strong rhythmic emphasis, with pronounced syncopation that highlights the dance's signature style, perfect for ballroom dancing.
P063	The male and female vocals take turns singing melodically as a duet. The simple melody is being played by a ukulele. The aura of the song is very calm and easygoing. The music could be playing in the background at a coffee house.
P064	This music piece contains the bass as the primary instrument, delivering a strong metallic sound suitable for bar settings.
P065	This joyful song features simple bass accompaniment and vocal backing, performed with a free tempo, making it ideal for live concerts.
P066	The recording features a pop song that consists of an echoing male vocal singing over snare hits,, metallic percussions, synth lead melody and synth pad chords. It sounds energetic, nostalgic and exciting - like something you would hear in clubs during the 80s.
P067	This is a teen pop music piece. There is a teen female vocalist singing melodically. The main tune is being played by the acoustic guitar. There is a bass guitar playing in the background.  The piece has an easygoing atmosphere. This piece could be an opening theme for a teenage drama movie/TV show. 
P068	A soft, romantic Brazilian music piece features a strong regional flavor with instruments like drums and guitar.
P069	This mysterious, non-melodic chordal music contains no instrumental accompaniment, relying solely on piano chords to connect the music.
P070	This is a finnish techno pop piece with polka influences. There is a female vocalist in the lead singing rapidly in a manner that resembles yodeling. A male vocalist occasionally joins her at a lower pitch while singing the melody. The melodic background consists of a keyboard tune and a simple bass line. The atmosphere is playful and danceable. This piece could be used in the background of a comedic social media content. 
P071	This warm and romantic folk-style song creates a cozy atmosphere, ideal for playing in the car.
P072	A somber and melancholic pop piece features deep male and female vocal harmonies, suitable for upscale dining environments.
P073	The song features a flat female vocal, supported by wide harmonizing background vocals, singing over groovy acoustic rhythm guitar, offbeat shimmering open hats, claps, offbeat synth keys chords and a simple 4 on the floor kick pattern that perfectly complements the groovy bass. Sounds uptempo, like something you would hear in clubs, or on a radio.
P074	This is a pop music piece. The words are being sung by two vocals: one male and one female which lead to a duet for the chorus. There is a banjo and an electric guitar playing the melody while a simple electronic drum beat provides the rhythmic background for the song. It is a slightly melodic and emotional song. This piece could be used in the soundtrack of a romantic drama during a flashback scene.
P075	This is an Indian pop music piece. The female vocalist is singing in a heart-touching manner. The electric guitar is playing a gentle melody. The bass guitar is the melodic background. The electronic drums and the electronic percussion provide a mid tempo rhythmic background. The overall atmosphere of the piece is sentimental. It could be used in the soundtrack of a Bollywood drama.
P076	A complex electronic composition contains diverse chords and synthesizes electronic effects with wind, string, and percussion instruments, often used in gaming.
P077	This steady, story-driven bar music piece features electronic piano as the lead, with guitar and bass accompaniment.
P078	This is a children's song accompanied by a tuba playing the low registers and followed by a phrase played on a trumpet and a descend run played on bells. The children's voice repeats the first melody once again. In between the sound of church bells is played. This song has a holiday feel. This song can be played in the intro credits of a holiday movie.
P079	The Pop song features a passionate female vocal singing over groovy bass, wide electric guitar melodies and shimmering shakers, as the overall audio is slowly fading out. 
P080	A unique blend of Chinese and Western music contains traditional instruments like the guzheng and pipa alongside the oud and shamisen, creating a rich cultural fusion.
P081	This lively syncopated rhythm tune features electronic drums and is perfect for enjoying during travel.
P082	A beautiful solo song features soaring, high-register female vocals, making it perfect for concert performances.
P083	This fast-paced, energetic pop track features electronic beats integrated with a rhythmic male hum, creating a vibrant atmosphere.
P084	A fusion of classical and modern music features symphonic excerpts performed with electronic instrumentation, with bass guitar leading the melody.
P085	This a cappella piece contains a waltz rhythm, with male vocals delivering the main melody and low harmonies, while female vocals handle the high notes.
P086	A magical and fantastical electronic music composition features a fusion of instruments like violin, guitar, and bass, creating an immersive background for gaming.
P087	This Southeast Asian-inspired music piece contains a string quartet, with the cello leading the melody and violin and viola providing accompaniment, perfect for indoor performances.
P088	A powerful electronic composition features a steady rhythm and is paired with live piano for a grand concert opening.
P089	This lively swing dance music features a Russian folk style, with a joyful rhythm and narrow tonal range, perfect for ballroom dancing.
P090	A modern pop song contains orchestral accompaniment, with the violin as the lead instrument, supported by other strings and wind instruments.
P091	This cheerful children's song features a steady rhythm and small vocal range, performed with a lighthearted tone, perfect for choral competitions.
P092	A romantic waltz rhythm tune features electronic organ accompaniment, making it ideal for celebratory events.
P093	This small vocal ensemble piece features integrated accompaniment and vocal harmonies, often heard during travel.
P094	A pop song contains the guzheng in the interlude, delivering a flowing, high-mountain style melody that blends traditional and modern elements.
P095	This fresh and simple campus folk-style tune features male vocals accompanied by guitar, often heard in relaxed campus settings.
P096	A somber Chinese pentatonic melody features a fusion of traditional instruments like the guzheng, pipa, and erhu, suitable for celebratory events.
P097	This is a pop music piece performed acoustically. The male and female vocals take turns singing melodically as a duet. The melody is being played by a ukulele. The aura of the song is very calm and easygoing. It could be used in the soundtrack of a teenage drama. The music could be playing in the background at a coffee house.
P098	A tap dance music piece features a distinct tap shoe sound, with fast-paced, tight rhythms, perfect for ballroom dancing.
P099	This a cappella piece contains double bass accompaniment, with male vocals delivering the main melody, suitable for studio recording.
P100	A nocturne in a minor key features Impressionist influences, blending popular song elements with a piano-accompanied minor key, performed by female vocals.
	
